"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","stim","noise","action","scramble","communicative","trial_number","index","workerId","response"
"894.8000000119209","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","51","html-keyboard-response","193","530751","0.0-8.0-3.43","stim/test/noi020_act05_scr0_con0_tri021.mp4","020","05","0","0","021","44","A2PR7FI9TP8XLD","3"
"null","<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","194","531755","0.0-8.0-0.44","stim/test/noi005_act03_scr0_con1_tri024.mp4","005","03","0","1","024","","",""
"null","","null","video-keyboard-response","195","537464","0.0-8.0-1.44","stim/test/noi005_act03_scr0_con1_tri024.mp4","005","03","0","1","024","","",""
"1287.5999999940395","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","74","html-keyboard-response","196","538752","0.0-8.0-2.44","stim/test/noi005_act03_scr0_con1_tri024.mp4","005","03","0","1","024","45","A2PR7FI9TP8XLD","yes"
"3651","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","52","html-keyboard-response","197","542403","0.0-8.0-3.44","stim/test/noi005_act03_scr0_con1_tri024.mp4","005","03","0","1","024","45","A2PR7FI9TP8XLD","4"
"null","<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","198","543405","0.0-8.0-0.45","stim/test/noi020_act05_scr1_con1_tri015.mp4","020","05","1","1","015","","",""
"null","","null","video-keyboard-response","199","549594","0.0-8.0-1.45","stim/test/noi020_act05_scr1_con1_tri015.mp4","020","05","1","1","015","","",""
"5499.20000000298","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","200","555094","0.0-8.0-2.45","stim/test/noi020_act05_scr1_con1_tri015.mp4","020","05","1","1","015","46","A2PR7FI9TP8XLD","no"
"6349.899999991059","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","51","html-keyboard-response","201","561445","0.0-8.0-3.45","stim/test/noi020_act05_scr1_con1_tri015.mp4","020","05","1","1","015","46","A2PR7FI9TP8XLD","3"
"null","<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","202","562453","0.0-8.0-0.46","stim/test/noi010_act05_scr0_con0_tri006.mp4","010","05","0","0","006","","",""
"null","","null","video-keyboard-response","203","568640","0.0-8.0-1.46","stim/test/noi010_act05_scr0_con0_tri006.mp4","010","05","0","0","006","","",""
